dept_time,Total_Fare,Airways,Available,Duration,days_till_flight,dep_day_of_week,futuredays,prediction_day_of_week,current_day_of_week,price
1,4906,1,1,95,3,2,1,7,6,9529
1,4906,1,1,95,3,2,2,1,6,11414
1,9529,1,1,95,2,2,1,1,7,11414
1,4594,1,2,95,4,3,1,7,6,5257
1,4594,1,2,95,4,3,2,1,6,9529
1,5257,1,2,95,3,3,1,1,7,9529
1,4906,1,2,95,5,4,1,7,6,4906
1,4906,1,2,95,5,4,2,1,6,4594
1,4906,1,2,95,4,4,1,1,7,4594
1,4906,1,2,95,5,4,4,3,6,9529
1,4906,1,2,95,4,4,3,3,7,9529
1,4594,1,5,95,3,4,2,3,1,9529
1,14298,1,12,95,6,5,1,7,6,14298
1,5588,1,1,95,7,6,1,7,6,5257
1,5588,1,1,95,7,6,2,1,6,5774
1,5257,1,2,95,6,6,1,1,7,5774
1,5588,1,1,95,7,6,4,3,6,7584
1,5257,1,2,95,6,6,3,3,7,7584
1,5774,1,1,95,5,6,2,3,1,7584
1,5588,1,1,95,7,6,5,4,6,8572
1,5257,1,2,95,6,6,4,4,7,8572
1,5774,1,1,95,5,6,3,4,1,8572
1,7584,1,2,95,3,6,1,4,3,8572
1,4906,1,1,95,8,7,1,7,6,4906
1,4906,1,1,95,8,7,2,1,6,8572
1,4906,1,1,95,7,7,1,1,7,8572
1,4906,1,1,95,8,7,4,3,6,5774
1,4906,1,1,95,7,7,3,3,7,5774
1,8572,1,1,95,6,7,2,3,1,5774
1,4906,1,1,95,8,7,5,4,6,11414
1,4906,1,1,95,7,7,4,4,7,11414
1,8572,1,1,95,6,7,3,4,1,11414
1,5774,1,1,95,4,7,1,4,3,11414
1,7794,1,2,95,9,1,1,7,6,13387
1,7794,1,2,95,9,1,2,1,6,9529
1,13387,1,1,95,8,1,1,1,7,9529
1,7794,1,2,95,9,1,5,4,6,14294
1,13387,1,1,95,8,1,4,4,7,14294
1,9529,1,1,95,7,1,3,4,1,14294
1,5257,1,1,95,10,2,1,7,6,5774
1,5257,1,1,95,10,2,2,1,6,5774
1,5774,1,3,95,9,2,1,1,7,5774
1,5257,1,1,95,10,2,4,3,6,7794
1,5774,1,3,95,9,2,3,3,7,7794
1,5774,1,1,95,8,2,2,3,1,7794
1,5257,1,1,95,10,2,5,4,6,13387
1,5774,1,3,95,9,2,4,4,7,13387
1,5774,1,1,95,8,2,3,4,1,13387
1,7794,1,2,95,6,2,1,4,3,13387
1,5257,1,1,95,10,2,9,1,6,11414
1,5774,1,3,95,9,2,8,1,7,11414
1,5774,1,1,95,8,2,7,1,1,11414
1,7794,1,2,95,6,2,5,1,3,11414
1,13387,1,1,95,5,2,4,1,4,11414
1,7794,1,1,95,11,3,1,7,6,7794
1,7794,1,1,95,11,3,2,1,6,10324
1,7794,1,2,95,10,3,1,1,7,10324
1,7794,1,1,95,11,3,4,3,6,13387
1,7794,1,2,95,10,3,3,3,7,13387
1,10324,1,2,95,9,3,2,3,1,13387
1,7794,1,1,95,11,3,5,4,6,7794
1,7794,1,2,95,10,3,4,4,7,7794
1,10324,1,2,95,9,3,3,4,1,7794
1,13387,1,4,95,7,3,1,4,3,7794
1,7794,1,1,95,11,3,9,1,6,10324
1,7794,1,2,95,10,3,8,1,7,10324
1,10324,1,2,95,9,3,7,1,1,10324
1,13387,1,4,95,7,3,5,1,3,10324
1,7794,1,1,95,6,3,4,1,4,10324
1,8572,1,2,95,12,4,1,7,6,7794
